datetime_hour,store_location,store_id,transaction_count,quantity_demanded,total_revenue,avg_unit_price,hour,day_of_week,day_of_month,month,is_weekend,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,lag_1h_qty,lag_2h_qty,lag_15h_qty,lag_105h_qty,lag_1h_rev,lag_15h_rev,rolling_mean_3h_qty,rolling_mean_15h_qty,rolling_mean_7d_qty,rolling_std_15h_qty,is_peak_demand,demand_tier
2025-01-01 06:00:00,Astoria,3,0,0,0.0,3.3984699316341644,6,2,1,1,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2025-01-01 07:00:00,Astoria,3,0,0,0.0,3.3984699316341644,7,2,1,1,0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2025-01-01 08:00:00,Astoria,3,0,0,0.0,3.3984699316341644,8,2,1,1,0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2025-01-01 09:00:00,Astoria,3,0,0,0.0,3.3984699316341644,9,2,1,1,0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2025-01-01 10:00:00,Astoria,3,0,0,0.0,3.3984699316341644,10,2,1,1,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2025-01-01 11:00:00,Astoria,3,22,31,98.9,3.2363636363636363,11,2,1,1,0,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2025-01-01 12:00:00,Astoria,3,27,40,117.0,2.9962962962962965,12,2,1,1,0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,31.0,0.0,0.0,0.0,98.9,0.0,10.333333333333334,5.166666666666667,5.166666666666667,12.655697004379753,0,1
2025-01-01 13:00:00,Astoria,3,19,31,91.65,2.9499999999999997,13,2,1,1,0,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,40.0,31.0,0.0,0.0,117.0,0.0,23.666666666666668,10.142857142857142,10.142857142857142,17.515979099368774,0,1
2025-01-01 14:00:00,Astoria,3,14,22,70.35,3.1999999999999997,14,2,1,1,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,31.0,40.0,0.0,0.0,91.65,0.0,34.0,12.75,12.75,17.814520562090433,0,0
2025-01-01 15:00:00,Astoria,3,20,30,95.65,3.2,15,2,1,1,0,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,22.0,31.0,0.0,0.0,70.35,0.0,31.0,13.777777777777779,13.777777777777779,16.946812220722943,0,1
